[1667200858.0334527] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200858.0516968] id 144952dd-12c9-4791-a364-6e39b9487382, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200859.9376392] id 144952dd-12c9-4791-a364-6e39b9487382, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200859.959159] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200859.9653077] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200859.980102] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200859.9941328] id 144952dd-12c9-4791-a364-6e39b9487382, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200860.0074153] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->camera: activate
[1667200860.473769] id d2d79732-eb07-461d-aded-55baacf74c0b, hmi->central: pincoding
[1667200860.4874697] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->sensors: lock_opening
[1667200860.503378] id 144952dd-12c9-4791-a364-6e39b9487382, 8c243ac5-35d1-40aa-a299-ea2bd610e1ad->central: lock_opening
[1667200860.5112963] id 144952dd-12c9-4791-a364-6e39b9487382, monitor->monitor: policy_error
[1667200865.517604] id 144952dd-12c9-4791-a364-6e39b9487382, 8c243ac5-35d1-40aa-a299-ea2bd610e1ad->central: lock_closing
[1667200865.537117] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->camera: deactivate
[1667200865.5394535] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200865.543824] id 144952dd-12c9-4791-a364-6e39b9487382, 987f5cd0-a68a-4527-b9df-f2e940642e11->monitor: internal_error
[1667200865.5502114] id 144952dd-12c9-4791-a364-6e39b9487382, monitor->monitor: policy_error
[1667200865.5641809] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200865.5803683] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200865.596551] id 144952dd-12c9-4791-a364-6e39b9487382, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200876.7274997] id 144952dd-12c9-4791-a364-6e39b9487382, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200876.7479048] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200876.7534409] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200876.7769268] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200876.789679] id 144952dd-12c9-4791-a364-6e39b9487382, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200876.8024793] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->communication_out: operation_status
[1667200885.8434105] id 52d3f2e2-ec54-4c8e-9094-9836ecda4dae, communication_in->central: ordering
